scenario,REGION6,peak_prevalence_A,peak_prevalence_C,final_attack_rate_A,final_attack_rate_C,time_to_peak_A,time_to_peak_C,attack_rate_diff,attack_rate_ratio,peak_prevalence_ratio,time_to_peak_diff,equalize_symp,case_rate_A,case_rate_C,case_rate_diff,case_rate_ratio,epidemic_scen,scenario_8
"Null
(all equal)",6,0.06523247487243042,0.06523247487243042,0.579061007315169,0.5790610073200788,54,54,-4.909850304102292e-12,0.999999999991521,1,0,TRUE,0.2895305036575844,0.28953050366003935,-2.454925152051146e-12,0.999999999991521,"Null
(all equal)","Null
(all equal)"
"Vaccination
disparity only",1,0.05555427088690958,0.048944393397469275,0.5737585690202416,0.5182356848425776,60,63,0.055522884177663934,1.1071382882375804,1.1350487161167284,-3,TRUE,0.28687928451012074,0.25911784242128877,0.027761442088831967,1.1071382882375804,"Vaccination
disparity only","Vaccination
disparity only"
"Vaccination
disparity only",2,0.05404555926204342,0.047559871925499965,0.5678723411968307,0.5121789765184814,61,64,0.05569336467834929,1.1087380920179952,1.1363688982742204,-3,TRUE,0.2839361705984153,0.25608948825924066,0.027846682339174644,1.1087380920179952,"Vaccination
disparity only","Vaccination
disparity only"
"Vaccination
disparity only",3,0.05379626117645542,0.04732969823540525,0.56664097111328,0.5109251520049746,61,64,0.055715819108305475,1.109048886886201,1.1366280196608738,-3,TRUE,0.28332048555663997,0.25546257600248723,0.027857909554152738,1.109048886886201,"Vaccination
disparity only","Vaccination
disparity only"
"Vaccination
disparity only",4,0.06339862770827497,0.05615248658701945,0.6013435654500751,0.5469276935341312,56,59,0.05441587191594388,1.0994937220390506,1.1290439936266434,-3,TRUE,0.3006717827250375,0.27346384676706553,0.02720793595797194,1.0994937220390506,"Vaccination
disparity only","Vaccination
disparity only"
"Vaccination
disparity only",5,0.059873176157487905,0.05289319586308152,0.5886629461170104,0.5337407904377098,58,61,0.05492215567930059,1.1029004278167687,1.1319636709506957,-3,TRUE,0.29433147305850516,0.26687039521885486,0.027461077839650294,1.1029004278167687,"Vaccination
disparity only","Vaccination
disparity only"
"Vaccination
disparity only",6,0.0735567440385326,0.06558497297217344,0.6321628580831593,0.579542333801837,52,54,0.052620524281322356,1.090796687683069,1.121548743638904,-2,TRUE,0.3160814290415796,0.2897711669009184,0.026310262140661178,1.090796687683069,"Vaccination
disparity only","Vaccination
disparity only"
"Full model
(all factors)",1,0.07889181023253516,0.049360641357941944,0.7064608808592272,0.5187581227545085,47,63,0.1877027581047187,1.3618309764636594,1.59827360549159,-16,FALSE,0.36393108540722546,0.2593790613772542,0.10455202402997127,1.4030858291907589,"Full model
(all factors)","Full model
(all factors)"
"Full model
(all factors)",2,0.07921077406652736,0.04820171160438237,0.7087847883095718,0.5129872295536092,47,63,0.1957975587559626,1.3816811559350932,1.6433187003119976,-16,FALSE,0.36512823897043656,0.25649361477680455,0.10863462419363201,1.423537343368815,"Full model
(all factors)","Full model
(all factors)"
"Full model
(all factors)",3,0.06618517833866532,0.047838837206433185,0.6506094549978418,0.5116639222286703,54,64,0.13894553276917154,1.2715562437233452,1.3835030741458947,-10,FALSE,0.3351594002566567,0.2558319611143351,0.0793274391423216,1.3100763438500516,"Full model
(all factors)","Full model
(all factors)"
"Full model
(all factors)",4,0.07728716414136762,0.05647389584601952,0.6836028424119268,0.5473125148962878,49,59,0.13629032751563896,1.2490173782002136,1.3685467061117422,-10,FALSE,0.35215583929269395,0.27365625744814387,0.07849958184455008,1.286854693463113,"Full model
(all factors)","Full model
(all factors)"
"Full model
(all factors)",5,0.08559885749145497,0.05412868813985514,0.721994537115394,0.535168902927632,45,59,0.186825634187762,1.34909658084716,1.5813953826164917,-14,FALSE,0.371933199232373,0.26758445146381593,0.10434874776855707,1.3899656620469505,"Full model
(all factors)","Full model
(all factors)"
"Full model
(all factors)",6,0.10111345556185614,0.06680103146799214,0.7531756402002415,0.5806347400837033,41,53,0.17254090011653822,1.297159105725684,1.5136511119638154,-12,FALSE,0.38799604573572294,0.2903173700418516,0.09767867569387134,1.3364548104021132,"Full model
(all factors)","Full model
(all factors)"
"Household
structure only",1,0.06810854161155419,0.049193699278841284,0.6569756903133018,0.5185633656513539,52,63,0.13841232466194797,1.2669149689895502,1.3844972549329784,-11,FALSE,0.33843894621749643,0.2592816828256769,0.07915726339181955,1.3052944678897331,"Household
structure only","HH structure
+ Obesity"
"Household
structure only",2,0.06798817932548118,0.04793840820156285,0.6594109110522546,0.5127045500465252,52,64,0.14670636100572942,1.28614210853486,1.4182402352538832,-12,FALSE,0.3396934424688039,0.2563522750232625,0.08334116744554138,1.3251040679782484,"Household
structure only","HH structure
+ Obesity"
"Household
structure only",3,0.05785673700935118,0.0475092120377903,0.5967933870385422,0.5111908302355048,59,64,0.08560255680303741,1.1674571446510502,1.2178003912868547,-5,FALSE,0.30743622328335224,0.25559541511775236,0.05184080816559988,1.2028237014412677,"Household
structure only","HH structure
+ Obesity"
"Household
structure only",4,0.06825420108598866,0.05627274350570789,0.6329002430936085,0.5470754599151486,54,59,0.08582478317845987,1.1568792414702194,1.2129176015572345,-5,FALSE,0.32603655582941027,0.27353772995757425,0.05249882587183602,1.1919253547946698,"Household
structure only","HH structure
+ Obesity"
"Household
structure only",5,0.0740041542854163,0.053628087066497424,0.6736414496871267,0.5346514598934309,51,60,0.1389899897936958,1.2599637337965932,1.379951408553005,-9,FALSE,0.34702425937832565,0.2673257299467154,0.07969852943161027,1.2981326542996672,"Household
structure only","HH structure
+ Obesity"
"Household
structure only",6,0.08875094720601204,0.06626968736716796,0.7087126361756964,0.5802344428554455,46,54,0.1284781933202509,1.2214246239640394,1.33923896025473,-8,FALSE,0.365091070027177,0.29011722142772267,0.07497384859945433,1.258426053546541,"Household
structure only","HH structure
+ Obesity"
"Null
(all equal)",1,0.0488330226582861,0.04883302265510585,0.5180153508270608,0.5180153508317347,63,63,-4.673816889066984e-12,0.9999999999909774,1.000000000065125,0,FALSE,0.2668539674196946,0.2590076754158673,0.007846292003827304,1.0302936659742965,"Null
(all equal)","Obesity
disparity only"
"Null
(all equal)",2,0.04740391352859165,0.047403913530015315,0.5118562907262991,0.511856290724706,64,64,1.5931700403370996e-12,1.0000000000031126,0.9999999999699674,0,FALSE,0.263681147114581,0.2559281453623529,0.007753001752228095,1.0302936659867992,"Null
(all equal)","Obesity
disparity only"
"Null
(all equal)",3,0.047086690531955216,0.04708669053033486,0.5104284068870331,0.5104284068890554,64,64,-2.022382261657185e-12,0.9999999999960378,1.0000000000344123,0,FALSE,0.262945577276903,0.25521420344452767,0.007731373832375321,1.0302936659795103,"Null
(all equal)","Obesity
disparity only"
"Null
(all equal)",4,0.056003090615645935,0.05600309061619988,0.5466712913276524,0.5466712913264502,59,59,1.2021494910641195e-12,1.0000000000021991,0.9999999999901087,0,FALSE,0.28161598441497565,0.27333564566322505,0.008280338751750604,1.0302936659858581,"Null
(all equal)","Obesity
disparity only"
"Null
(all equal)",5,0.05257601349939647,0.052576013499153966,0.533142918906626,0.533142918906748,61,61,-1.220135104063047e-13,0.9999999999997712,1.0000000000046125,0,FALSE,0.2746468862067504,0.26657145945337396,0.008075426753376413,1.0302936659833566,"Null
(all equal)","Obesity
disparity only"
"Null
(all equal)",6,0.06523247487243042,0.06523247487243042,0.579061007315169,0.5790610073200788,54,54,-4.909850304102292e-12,0.999999999991521,1,0,FALSE,0.29830144402744857,0.28953050366003935,0.008770940367409219,1.0302936659748565,"Null
(all equal)","Obesity
disparity only"
"Vaccination
disparity only",1,0.05555427088690958,0.048944393397469275,0.5737585690202416,0.5182356848425776,60,63,0.055522884177663934,1.1071382882375804,1.1350487161167284,-3,FALSE,0.2955699097326823,0.25911784242128877,0.036452067311393554,1.140677565739096,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",2,0.05404555926204342,0.047559871925499965,0.5678723411968307,0.5121789765184814,61,64,0.05569336467834929,1.1087380920179952,1.1363688982742204,-3,FALSE,0.292537638111184,0.25608948825924066,0.036448149851943334,1.142325833440874,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",3,0.05379626117645542,0.04732969823540525,0.56664097111328,0.5109251520049746,61,64,0.055715819108305475,1.109048886886201,1.1366280196608738,-3,FALSE,0.29190330171240203,0.25546257600248723,0.0364407257099148,1.1426460434250065,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",4,0.06339862770827497,0.05615248658701945,0.6013435654500751,0.5469276935341312,56,59,0.05441587191594388,1.0994937220390506,1.1290439936266434,-3,FALSE,0.30978023328160104,0.27346384676706553,0.036316386514535504,1.1328014176055583,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",5,0.059873176157487905,0.05289319586308152,0.5886629461170104,0.5337407904377098,58,61,0.05492215567930059,1.1029004278167687,1.1319636709506957,-3,FALSE,0.30324785239179824,0.26687039521885486,0.036377457172943384,1.136311324990211,"Vaccination
disparity only","Vaccination
+ Obesity"
"Vaccination
disparity only",6,0.0735567440385326,0.06558497297217344,0.6321628580831593,0.579542333801837,52,54,0.052620524281322356,1.090796687683069,1.121548743638904,-2,FALSE,0.3256566942765818,0.2897711669009184,0.03588552737566336,1.123840918195749,"Vaccination
disparity only","Vaccination
+ Obesity"
